REGO,ID,C01_LNO,C03_REL,C04_SEX,C05_AGE,C06_STATUS,C08_CUR_ATTEND,C09_CUR_GRADE,C10_YNOT_ATTND,C12_HGC,C13_DID_WORK,C14_CLS_WKR,PPENSSS01,PPENGSIS02,PPHEALTH03A,PPHEALTH03B,PINSURANCE04,PPS01,PTWSP02,PCBEP03,PSBSFAG04,PSBSFAP05,SEAK01,CBLP02,PEAF03,SKILLS04,PSFEED05,MEM_RFACT
12,0000000010009,04,3,2,05,1,1,010,  ,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00922.3278
12,0000000010010,01,1,1,69,2, ,   ,  ,250,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01171.6033
12,0000000010010,02,2,2,41,2, ,   ,  ,180,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01221.7482
12,0000000010011,01,1,2,49,3, ,   ,  ,180,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00850.0652
12,0000000010011,02,8,2,52,3, ,   ,  ,210,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00912.7401
12,0000000010011,03,8,1,23,1,3,   ,07,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01462.0584
12,0000000010012,01,1,1,65,2, ,   ,  ,720,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01171.6033
12,0000000010012,02,2,2,60,2, ,   ,  ,140,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00837.0532
12,0000000010013,01,1,1,60,2, ,   ,  ,814,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01016.2371
12,0000000010013,02,3,2,17,1,2,730,  ,720,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.6366
12,0000000010013,03,3,2,16,1,2,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.6366
12,0000000010013,04,3,1,20,2,3,   ,03,250,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01462.0584
12,0000000010013,05,5,2,20,2,3,   ,03,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01359.5198
12,0000000010014,01,1,1,31,2, ,   ,  ,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01135.2535
12,0000000010014,02,2,2,29,2, ,   ,  ,230,2, ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,01263.0965
12,0000000010014,03,3,1,09,1,1,440,  ,430,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00931.5695
12,0000000010014,04,3,2,08,1,1,430,  ,420,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00922.3278
12,0000000010014,05,3,2,04,1,1,010,  ,   , , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00992.9778
12,0000000010015,01,1,2,39,2, ,   ,  ,180,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01043.5572
12,0000000010015,02,3,1,15,1,1,500,  ,490,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00959.2239
12,0000000010015,03,8,1,14,1,1,480,  ,470,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00836.7753
12,0000000010015,04,8,2,13,1,1,470,  ,460,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00845.5937
12,0000000010016,01,1,1,63,2, ,   ,  ,180,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01016.2371
12,0000000010016,02,2,2,31,2, ,   ,  ,120,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01354.9049
12,0000000010016,03,3,1,13,1,3,   ,04,460,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00836.7753
12,0000000010016,04,3,1,12,1,1,450,  ,440,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00836.7753
12,0000000010016,05,3,2,09,1,1,450,  ,440,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00922.3278
12,0000000010016,06,3,1,08,1,1,420,  ,410,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00931.5695
12,0000000010016,07,3,1,05,1,1,010,  ,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00931.5695
12,0000000010016,08,3,2,03,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00992.9778
12,0000000010016,09,3,1,00,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01094.0422
12,0000000010017,01,1,1,80,2, ,   ,  ,180,2, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00697.4533
12,0000000010017,02,2,2,75,2, ,   ,  ,250,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01267.0717
12,0000000010017,03,6,1,19,1,1,710,  ,250,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00959.2239
12,0000000010017,04,6,1,17,1,1,480,  ,470,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00959.2239
12,0000000010018,01,1,1,54,2, ,   ,  ,852,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,00973.6853
12,0000000010018,02,2,2,50,2, ,   ,  ,250,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,01052.1465
12,0000000010018,03,3,1,26,1, ,   ,  ,848,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01521.9836
12,0000000010018,04,3,1,23,1,3,   ,07,720,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01685.3643
12,0000000010018,05,3,1,21,1,1,730,  ,720,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01685.3643
12,0000000010018,06,3,1,17,1,1,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01105.7299
12,0000000010018,07,3,2,14,1,1,500,  ,490,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00974.7446
12,0000000010018,08,7,2,75,3, ,   ,  ,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01460.5965
12,0000000010019,01,1,1,47,2, ,   ,  ,110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01157.6786
12,0000000010019,02,2,2,45,2, ,   ,  ,000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00979.8990
